sales_id,order_id,date,date_id,customer_id,product_id,region_id,quantity,unit_price,unit_cost,discount,revenue,cost,profit
1,ORD-000001,2024-01-15,20240115,1,101,2,6,1200.0,800.0,0.05,6840.0,4800.0,2040.0
2,ORD-000002,2024-01-15,20240115,2,101,3,6,1200.0,800.0,0.05,6840.0,4800.0,2040.0
3,ORD-000003,2024-01-15,20240115,3,101,4,8,1200.0,800.0,0.05,9120.0,6400.0,2720.0
4,ORD-000004,2024-01-15,20240115,4,101,1,3,1200.0,800.0,0.05,3420.0,2400.0,1020.0
5,ORD-000005,2024-01-15,20240115,1,102,2,7,600.0,360.0,0.05,3990.0,2520.0,1470.0
6,ORD-000006,2024-01-15,20240115,2,102,3,8,600.0,360.0,0.05,4560.0,2880.0,1680.0
7,ORD-000007,2024-01-15,20240115,3,102,4,7,600.0,360.0,0.05,3990.0,2520.0,1470.0
8,ORD-000008,2024-01-15,20240115,4,102,1,2,600.0,360.0,0.05,1140.0,720.0,420.0
9,ORD-000009,2024-01-15,20240115,1,103,2,6,350.0,200.0,0.05,1995.0,1200.0,795.0
10,ORD-000010,2024-01-15,20240115,2,103,3,6,350.0,200.0,0.05,1995.0,1200.0,795.0
11,ORD-000011,2024-01-15,20240115,3,103,4,3,350.0,200.0,0.05,997.5,600.0,397.5
12,ORD-000012,2024-01-15,20240115,4,103,1,7,350.0,200.0,0.05,2327.5,1400.0,927.5
13,ORD-000013,2024-01-15,20240115,1,104,2,2,700.0,400.0,0.05,1330.0,800.0,530.0
14,ORD-000014,2024-01-15,20240115,2,104,3,4,700.0,400.0,0.05,2660.0,1600.0,1060.0
15,ORD-000015,2024-01-15,20240115,3,104,4,2,700.0,400.0,0.05,1330.0,800.0,530.0
16,ORD-000016,2024-01-15,20240115,4,104,1,2,700.0,400.0,0.05,1330.0,800.0,530.0
17,ORD-000017,2024-01-15,20240115,1,105,2,8,200.0,40.0,0.05,1520.0,320.0,1200.0
18,ORD-000018,2024-01-15,20240115,2,105,3,9,200.0,40.0,0.05,1710.0,360.0,1350.0
19,ORD-000019,2024-01-15,20240115,3,105,4,4,200.0,40.0,0.05,760.0,160.0,600.0
20,ORD-000020,2024-01-15,20240115,4,105,1,9,200.0,40.0,0.05,1710.0,360.0,1350.0
21,ORD-000021,2024-01-15,20240115,1,106,2,8,999.0,600.0,0.05,7592.4,4800.0,2792.4
22,ORD-000022,2024-01-15,20240115,2,106,3,9,999.0,600.0,0.05,8541.45,5400.0,3141.45
23,ORD-000023,2024-01-15,20240115,3,106,4,2,999.0,600.0,0.05,1898.1,1200.0,698.1
24,ORD-000024,2024-01-15,20240115,4,106,1,2,999.0,600.0,0.05,1898.1,1200.0,698.1
25,ORD-000025,2024-01-15,20240115,1,107,2,5,120.0,50.0,0.05,570.0,250.0,320.0
26,ORD-000026,2024-01-15,20240115,2,107,3,5,120.0,50.0,0.05,570.0,250.0,320.0
27,ORD-000027,2024-01-15,20240115,3,107,4,8,120.0,50.0,0.05,912.0,400.0,512.0
28,ORD-000028,2024-01-15,20240115,4,107,1,3,120.0,50.0,0.05,342.0,150.0,192.0
29,ORD-000029,2024-01-15,20240115,1,108,2,7,250.0,120.0,0.05,1662.5,840.0,822.5
30,ORD-000030,2024-01-15,20240115,2,108,3,9,250.0,120.0,0.05,2137.5,1080.0,1057.5
31,ORD-000031,2024-01-15,20240115,3,108,4,5,250.0,120.0,0.05,1187.5,600.0,587.5
32,ORD-000032,2024-01-15,20240115,4,108,1,9,250.0,120.0,0.05,2137.5,1080.0,1057.5
33,ORD-000033,2024-02-18,20240218,1,101,2,5,1200.0,800.0,0.05,5700.0,4000.0,1700.0
34,ORD-000034,2024-02-18,20240218,2,101,3,5,1200.0,800.0,0.05,5700.0,4000.0,1700.0
35,ORD-000035,2024-02-18,20240218,3,101,4,8,1200.0,800.0,0.05,9120.0,6400.0,2720.0
36,ORD-000036,2024-02-18,20240218,4,101,1,6,1200.0,800.0,0.05,6840.0,4800.0,2040.0
37,ORD-000037,2024-02-18,20240218,1,102,2,5,600.0,360.0,0.05,2850.0,1800.0,1050.0
38,ORD-000038,2024-02-18,20240218,2,102,3,3,600.0,360.0,0.05,1710.0,1080.0,630.0
39,ORD-000039,2024-02-18,20240218,3,102,4,3,600.0,360.0,0.05,1710.0,1080.0,630.0
40,ORD-000040,2024-02-18,20240218,4,102,1,9,600.0,360.0,0.05,5130.0,3240.0,1890.0
41,ORD-000041,2024-02-18,20240218,1,103,2,2,350.0,200.0,0.05,665.0,400.0,265.0
42,ORD-000042,2024-02-18,20240218,2,103,3,8,350.0,200.0,0.05,2660.0,1600.0,1060.0
43,ORD-000043,2024-02-18,20240218,3,103,4,6,350.0,200.0,0.05,1995.0,1200.0,795.0
44,ORD-000044,2024-02-18,20240218,4,103,1,7,350.0,200.0,0.05,2327.5,1400.0,927.5
45,ORD-000045,2024-02-18,20240218,1,104,2,4,700.0,400.0,0.05,2660.0,1600.0,1060.0
46,ORD-000046,2024-02-18,20240218,2,104,3,5,700.0,400.0,0.05,3325.0,2000.0,1325.0
47,ORD-000047,2024-02-18,20240218,3,104,4,9,700.0,400.0,0.05,5985.0,3600.0,2385.0
48,ORD-000048,2024-02-18,20240218,4,104,1,2,700.0,400.0,0.05,1330.0,800.0,530.0
49,ORD-000049,2024-02-18,20240218,1,105,2,4,200.0,40.0,0.05,760.0,160.0,600.0
50,ORD-000050,2024-02-18,20240218,2,105,3,6,200.0,40.0,0.05,1140.0,240.0,900.0
51,ORD-000051,2024-02-18,20240218,3,105,4,8,200.0,40.0,0.05,1520.0,320.0,1200.0
52,ORD-000052,2024-02-18,20240218,4,105,1,2,200.0,40.0,0.05,380.0,80.0,300.0
53,ORD-000053,2024-02-18,20240218,1,106,2,7,999.0,600.0,0.05,6643.35,4200.0,2443.35
54,ORD-000054,2024-02-18,20240218,2,106,3,5,999.0,600.0,0.05,4745.25,3000.0,1745.25
55,ORD-000055,2024-02-18,20240218,3,106,4,9,999.0,600.0,0.05,8541.45,5400.0,3141.45
56,ORD-000056,2024-02-18,20240218,4,106,1,8,999.0,600.0,0.05,7592.4,4800.0,2792.4
57,ORD-000057,2024-02-18,20240218,1,107,2,7,120.0,50.0,0.05,798.0,350.0,448.0
58,ORD-000058,2024-02-18,20240218,2,107,3,5,120.0,50.0,0.05,570.0,250.0,320.0
59,ORD-000059,2024-02-18,20240218,3,107,4,8,120.0,50.0,0.05,912.0,400.0,512.0
60,ORD-000060,2024-02-18,20240218,4,107,1,4,120.0,50.0,0.05,456.0,200.0,256.0
61,ORD-000061,2024-02-18,20240218,1,108,2,7,250.0,120.0,0.05,1662.5,840.0,822.5
62,ORD-000062,2024-02-18,20240218,2,108,3,8,250.0,120.0,0.05,1900.0,960.0,940.0
63,ORD-000063,2024-02-18,20240218,3,108,4,4,250.0,120.0,0.05,950.0,480.0,470.0
64,ORD-000064,2024-02-18,20240218,4,108,1,9,250.0,120.0,0.05,2137.5,1080.0,1057.5
65,ORD-000065,2024-03-20,20240320,1,101,2,5,1200.0,800.0,0.05,5700.0,4000.0,1700.0
66,ORD-000066,2024-03-20,20240320,2,101,3,9,1200.0,800.0,0.05,10260.0,7200.0,3060.0
67,ORD-000067,2024-03-20,20240320,3,101,4,2,1200.0,800.0,0.05,2280.0,1600.0,680.0
68,ORD-000068,2024-03-20,20240320,4,101,1,2,1200.0,800.0,0.05,2280.0,1600.0,680.0
69,ORD-000069,2024-03-20,20240320,1,102,2,9,600.0,360.0,0.05,5130.0,3240.0,1890.0
70,ORD-000070,2024-03-20,20240320,2,102,3,8,600.0,360.0,0.05,4560.0,2880.0,1680.0
71,ORD-000071,2024-03-20,20240320,3,102,4,6,600.0,360.0,0.05,3420.0,2160.0,1260.0
72,ORD-000072,2024-03-20,20240320,4,102,1,3,600.0,360.0,0.05,1710.0,1080.0,630.0
73,ORD-000073,2024-03-20,20240320,1,103,2,7,350.0,200.0,0.05,2327.5,1400.0,927.5
74,ORD-000074,2024-03-20,20240320,2,103,3,5,350.0,200.0,0.05,1662.5,1000.0,662.5
